area_id,avg_sale_price,avg_sale_value,transaction_count,parking_score,metro_score,mall_score
395.0,24712.841253709197,19199653.791560102,1348,0.0,0.9228486646884273,0.9228486646884273
396.0,1705.6774214876034,5689568.704896907,3025,0.0,0.7289256198347107,0.7408264462809917
397.0,1247.227434514638,9407146.222222222,2596,0.0,0.0,0.010400616332819723
398.0,1078.7436637415237,5225753.53164557,5014,0.0,0.0,0.0
399.0,808.705016286645,6705610.108695652,307,0.0,0.0,0.0
400.0,571.6971428571429,20508563.9,56,0.0,0.0,0.0
401.0,966.07,14712304.239520958,606,0.0,0.3333333333333333,0.4900990099009901
402.0,1148.7655792682926,5202555.235294118,1312,0.0,0.6737804878048781,0.6737804878048781
403.0,933.6978774617068,4008771.4680851065,914,0.0,0.9102844638949672,0.9102844638949672
404.0,1151.72272,800000000.0,250,0.0,0.004,0.004
405.0,26166.561361919346,3344425.548157324,9795,0.968044920877999,0.16232771822358347,0.16232771822358347
406.0,1321.9626371826373,9840947.0,1221,0.0,0.542997542997543,0.502047502047502
409.0,12842.429411029412,1198800.6818485153,27200,0.9647794117647058,0.9839338235294117,0.9839338235294117
410.0,22299.989186454583,6545986.048816006,43882,0.7740075657444966,0.974294699421175,0.974294699421175
411.0,29846.62676740421,23366478.1785124,1853,0.11440906637884511,0.0005396654074473826,0.0
412.0,18937.680254137114,2396750.8053478682,40608,0.8906126871552403,0.8175482663514578,0.8175482663514578
413.0,32644.35205577689,9817418.7943686,1255,0.0,0.09243027888446215,0.03346613545816733
414.0,16109.596654507191,1710164.6223160543,14255,0.8051911609961417,0.980287618379516,0.980287618379516
415.0,1118.9093103448276,12691755.967032967,2291,0.0,0.9384548232213007,0.9384548232213007
416.0,4305.57,4810326.333333333,1,0.0,0.0,0.0
417.0,26328.593333333334,5083612.5,9,0.0,0.0,0.0
418.0,11067.665714285715,4416666.666666667,7,0.0,0.0,0.0
419.0,31512.855,1779166.75,6,0.0,0.0,0.0
420.0,956.79,4810326.333333333,1,0.0,0.0,0.0
421.0,20549.114999999998,9000000.0,2,0.0,0.0,0.0
423.0,109.31777777777778,2299741.0689655175,36,0.0,0.0,0.0
424.0,2690.98,4810326.333333333,1,0.0,0.0,0.0
425.0,2242.48,4810326.333333333,1,0.0,0.0,0.0
427.0,948.9624242424242,664303.7735849057,66,0.0,0.0,0.0
430.0,17353.062,46543502.72727273,35,0.0,1.0,1.0
431.0,100.0,1133746.0,1,0.0,1.0,1.0
432.0,25090.372303133903,5325744.212819922,8775,0.8622222222222222,0.24170940170940172,0.016752136752136753
434.0,6112.095005733397,3469487.489435267,20930,0.0,0.20477783086478737,0.21070234113712374
435.0,10870.740585106383,1908151.1034619033,47000,0.7112340425531914,0.8535106382978723,0.853404255319149
436.0,645.83,4810326.333333333,1,0.0,0.0,0.0
437.0,37882.06960591133,3146128.843230404,1218,0.8448275862068966,0.9983579638752053,0.9983579638752053
438.0,34017.22042682926,16443479.365384616,328,0.0,0.0,0.0
441.0,12463.71227665255,1284648.6390857017,108620,0.8962621984901491,0.98972564905174,0.98972564905174
442.0,12088.469649525754,1459182.4107840033,23511,0.6734719918336098,0.996767470545702,0.996767470545702
443.0,17886.95727798089,2756775.17984159,8479,0.9534143177261469,1.0,1.0
444.0,12232.600215600278,1723632.895449828,24397,0.9155633889412633,0.9948354305857278,0.9948354305857278
445.0,12051.038957474228,1984975.6192554557,46560,0.6159579037800688,0.817676116838488,0.817676116838488
447.0,21391.920003780328,2534248.5664187036,29098,0.9992783009141522,0.790879098219809,0.790879098219809
448.0,41065.32,140251820.0,2,0.0,0.0,0.0
449.0,8481.248321355235,1811113.8683920705,5844,0.0,0.0,0.0
451.0,11989.925944315386,2105242.5177000207,28841,0.5116674179120003,0.0,0.0
452.0,14269.965120715853,1386082.8155945418,5923,0.9150768191794698,0.7386459564409927,0.12949518824919803
